row,timestamp
9862,"2024-01-20 07:37:55.72406"
9861,"2024-01-20 07:37:42.236823"
9860,"2024-01-20 07:37:30.631424"
9859,"2024-01-20 07:37:18.962246"
9858,"2024-01-20 07:37:08.216821"
9857,"2024-01-20 07:36:51.826269"
9856,"2024-01-20 07:36:35.340041"
9855,"2024-01-20 07:36:19.536213"
9854,"2024-01-20 07:35:34.822914"
9853,"2024-01-20 07:35:00.866332"
9852,"2024-01-20 07:33:50.367526"
9851,"2024-01-20 07:32:23.233245"
9850,"2024-01-20 07:31:53.845426"
9849,"2024-01-20 07:30:17.210689"
9848,"2024-01-20 07:29:16.0028"
9847,"2024-01-20 07:27:13.482428"
9846,"2024-01-20 07:24:24.675954"
9845,"2024-01-20 07:22:20.847937"
9844,"2024-01-20 07:20:58.082911"
9843,"2024-01-20 07:19:14.792075"
9842,"2024-01-20 07:18:05.828065"
9841,"2024-01-20 07:17:19.0674"
9840,"2024-01-20 07:16:24.531367"
9839,"2024-01-20 07:15:28.17783"
9838,"2024-01-20 07:14:18.868282"
9837,"2024-01-20 07:12:54.945704"
9836,"2024-01-20 07:12:02.252566"
9835,"2024-01-20 07:10:30.837217"
9834,"2024-01-20 07:09:33.473486"
9833,"2024-01-20 07:08:24.356607"
9832,"2024-01-20 07:07:06.942283"
9831,"2024-01-20 07:06:00.727686"
9830,"2024-01-20 07:04:52.250366"
9829,"2024-01-20 07:03:31.332373"
9828,"2024-01-20 07:02:31.603268"
9827,"2024-01-20 07:01:39.548225"
9826,"2024-01-20 07:00:49.682883"
9825,"2024-01-20 06:59:59.399024"
9824,"2024-01-20 06:58:15.523785"
9823,"2024-01-20 06:57:17.907781"
9822,"2024-01-20 06:56:13.217083"
9821,"2024-01-20 06:55:21.5029"
9820,"2024-01-20 06:54:07.9657"
9819,"2024-01-20 06:52:46.967371"
9818,"2024-01-20 06:51:44.541955"
9817,"2024-01-20 06:50:47.00278"
9816,"2024-01-20 06:49:20.384615"
9815,"2024-01-20 06:47:43.892657"
9814,"2024-01-20 06:46:20.563456"
9813,"2024-01-20 06:45:22.310898"
9812,"2024-01-20 06:43:59.287494"
9811,"2024-01-20 06:43:02.291383"
9810,"2024-01-20 06:41:46.626116"
9809,"2024-01-20 06:40:33.284706"
9808,"2024-01-20 06:39:04.462536"
9807,"2024-01-20 06:37:31.462798"
9806,"2024-01-20 06:36:14.558986"
9805,"2024-01-20 06:34:49.27751"
9804,"2024-01-20 06:33:13.642706"
9803,"2024-01-20 06:32:10.351473"
9802,"2024-01-20 06:31:06.045586"
9801,"2024-01-20 06:29:55.338913"
9800,"2024-01-20 06:29:08.139059"
9799,"2024-01-20 06:28:10.789255"
